again, 5086
are, 13856
as, 30129
first, 4990
into, 5844
long, 4358
one, 15370
our, 7861
shall, 6365
they, 20286
think, 5451
us, 6106
am, 6771
can, 6531
from, 15418
has, 6856
its, 5311
little, 5877
man, 7427
other, 6489
so, 20808
some, 7321
there, 15399
two, 5877
well, 8160
what, 13937
after, 4694
been, 10346
come, 6567
down, 6080
get, 4394
got, 4484
have, 24589
here, 6110
is, 39864
me, 20790
my, 27222
now, 10911
only, 6301
own, 4175
she, 23183
their, 10824
them, 12749
this, 23187
upon, 6664
we, 19404
will, 14323
all, 21680
at, 21761
mr, 5281
of, 120863
say, 5984
that, 59969
your, 13552
but, 33428
do, 12871
great, 5215
had, 26046
it, 68297
like, 6921
most, 4680
no, 17216
on, 21372
take, 4239
the, 211751
then, 11318
thy, 4483
time, 8854
was, 53617
which, 13772
could, 11321
did, 7777
every, 4885
good, 8424
he, 46909
i, 80034
in, 71255
king, 4352
let, 4636
more, 9412
or, 14606
such, 7020
were, 14717
would, 15527
any, 8473
day, 5079
him, 21904
thing, 4427
thou, 5888
too, 5131
yet, 4153
away, 4553
ever, 4185
go, 6315
his, 34954
how, 7208
just, 4129
make, 5595
never, 6513
out, 11793
over, 4580
sir, 4939
very, 8400
when, 12925
who, 7575
with, 35566
a, 101959
an, 12799
and, 173313
for, 38021
if, 13729
know, 7570
made, 5745
may, 4975
must, 6162
not, 35107
nothing, 4365
said, 10982
see, 7437
should, 5337
than, 7337
these, 5777
to, 116376
way, 5149
about, 7994
be, 28565
before, 5709
by, 20414
her, 28597
much, 5391
old, 4624
up, 10519
where, 4567
you, 43495
